dataset,mode,seed,R,params,init_time_s,online_time_s,total_train_time_s,infer_time_s,avg_online_nre_train,avg_online_nre_test,final_train_nre,final_test_nre,init_loss_best,final_train_loss,final_test_loss,avg_flops_m,num_updates,final_shape,target_params,actual_params_formula,param_error,sample_rate,model,true_tt_rank,dA_l1_max,dB_l1_max,dC_l1_max
synthetic_tt_r10_40x40x50.mat,multi,7,7,25407,0.083,14.9732,15.0562,0.000533,0.015774,0.015558,0.008507,0.008539,0.0,8.8e-05,8.9e-05,nan,9,"(40,40,50)",25000,25407,407,0.3,Dense TT,10,0.500159,2.641333,0.078303
synthetic_tt_r10_40x40x50.mat,multi,123,7,25407,0.0873,15.638,15.7253,0.000483,0.017768,0.017611,0.017288,0.017383,3e-06,0.000364,0.000365,nan,9,"(40,40,50)",25000,25407,407,0.3,Dense TT,10,0.535803,2.313176,0.086537
synthetic_tt_r10_40x40x50.mat,multi,7,9,30051,0.238,16.7186,16.9566,0.000451,0.017468,0.017473,0.019133,0.019092,0.0,0.000443,0.000443,nan,9,"(40,40,50)",30000,30051,51,0.3,Dense TT,10,0.58969,3.541404,0.074059
synthetic_tt_r10_40x40x50.mat,multi,123,9,30051,0.0853,15.1818,15.2671,0.000484,0.016467,0.016259,0.006806,0.006937,1e-06,5.6e-05,5.8e-05,nan,9,"(40,40,50)",30000,30051,51,0.3,Dense TT,10,0.594762,3.924319,0.082955
synthetic_tt_r10_40x40x50.mat,multi,7,12,38952,0.1172,15.481,15.5982,0.000448,0.020996,0.021204,0.011084,0.010995,2e-06,0.000149,0.000147,nan,9,"(40,40,50)",40000,38952,-1048,0.3,Dense TT,10,0.588096,4.962072,0.085845
synthetic_tt_r10_40x40x50.mat,multi,123,12,38952,0.0921,15.4189,15.511,0.000624,0.019313,0.019123,0.0116,0.011675,5e-06,0.000164,0.000165,nan,9,"(40,40,50)",40000,38952,-1048,0.3,Dense TT,10,0.597468,5.513352,0.093961
synthetic_tt_r10_40x40x50.mat,multi,7,15,50175,0.0626,15.8482,15.9108,0.000566,0.024087,0.024339,0.014282,0.014165,1e-06,0.000247,0.000244,nan,9,"(40,40,50)",50000,50175,175,0.3,Dense TT,10,0.836191,6.50484,0.105978
synthetic_tt_r10_40x40x50.mat,multi,123,15,50175,0.2028,15.7579,15.9607,0.000547,0.0179,0.017712,0.016436,0.016747,0.0,0.000329,0.000339,nan,9,"(40,40,50)",50000,50175,175,0.3,Dense TT,10,0.761294,7.710307,0.08662
synthetic_tt_r10_40x40x50.mat,multi,7,20,74040,0.0821,16.948,17.03,0.000497,0.02159,0.021901,0.015734,0.015749,1.1e-05,0.000299,0.000302,nan,9,"(40,40,50)",75000,74040,-960,0.3,Dense TT,10,0.958677,11.036679,0.103562
synthetic_tt_r10_40x40x50.mat,multi,123,20,74040,0.1745,16.3194,16.4939,0.000549,0.017356,0.016938,0.009857,0.010052,1e-06,0.000118,0.000122,nan,9,"(40,40,50)",75000,74040,-960,0.3,Dense TT,10,0.886021,15.05827,0.125047
synthetic_tt_r10_40x40x50.mat,multi,7,24,97776,0.0661,16.6821,16.7482,0.00055,0.018271,0.018327,0.010065,0.010005,8e-06,0.000123,0.000122,nan,9,"(40,40,50)",100000,97776,-2224,0.3,Dense TT,10,0.901774,17.906107,0.120256
synthetic_tt_r10_40x40x50.mat,multi,123,24,97776,0.079,16.6537,16.7328,0.000739,0.019717,0.019447,0.015039,0.015046,6e-06,0.000275,0.000274,nan,9,"(40,40,50)",100000,97776,-2224,0.3,Dense TT,10,0.785722,20.446184,0.113107
synthetic_tt_r10_40x40x50.mat,multi,7,28,125640,0.1644,17.1608,17.3252,0.000559,0.01614,0.016432,0.013675,0.013645,3e-06,0.000226,0.000226,nan,9,"(40,40,50)",125000,125640,640,0.3,Dense TT,10,1.141828,21.096876,0.086121
synthetic_tt_r10_40x40x50.mat,multi,123,28,125640,0.0945,16.9769,17.0714,0.000977,0.017981,0.017717,0.008582,0.008636,1.6e-05,9e-05,9e-05,nan,9,"(40,40,50)",125000,125640,640,0.3,Dense TT,10,1.140581,26.222775,0.127047
synthetic_tt_r10_40x40x50.mat,multi,42,2,18054,0.0323,5.5931,5.6254,0.000174,0.104841,0.107365,0.197215,0.198622,0.000453,0.047557,0.048401,0.2549,9,"(40,40,50)",18000,18054,54,0.3,CP,10,,,
synthetic_tt_r10_40x40x50.mat,multi,7,2,18054,0.0795,5.6973,5.7769,0.000176,0.091286,0.092112,0.194566,0.196798,5e-06,0.045785,0.047081,0.2549,9,"(40,40,50)",18000,18054,54,0.3,CP,10,,,
synthetic_tt_r10_40x40x50.mat,multi,123,2,18054,0.0191,5.6419,5.6611,0.000163,0.092044,0.093007,0.196434,0.19662,0.000314,0.046952,0.046757,0.2549,9,"(40,40,50)",18000,18054,54,0.3,CP,10,,,
synthetic_tt_r10_40x40x50.mat,multi,42,7,19989,0.1055,5.6936,5.7991,0.000228,0.019759,0.022852,0.013562,0.013673,8e-06,0.000225,0.000229,0.2792,9,"(40,40,50)",20000,19989,-11,0.3,CP,10,,,
synthetic_tt_r10_40x40x50.mat,multi,7,7,19989,0.036,5.7004,5.7364,0.000181,0.023268,0.025008,0.031146,0.031106,0.000267,0.001173,0.001176,0.2792,9,"(40,40,50)",20000,19989,-11,0.3,CP,10,,,
synthetic_tt_r10_40x40x50.mat,multi,123,7,19989,0.0265,5.6366,5.6631,0.000232,0.023703,0.025478,0.032826,0.033108,0.000275,0.001311,0.001326,0.2792,9,"(40,40,50)",20000,19989,-11,0.3,CP,10,,,
synthetic_tt_r10_40x40x50.mat,multi,42,20,25020,0.1021,5.7828,5.8849,0.000191,0.029052,0.035502,0.028444,0.028568,2.6e-05,0.000989,0.001001,0.3424,9,"(40,40,50)",25000,25020,20,0.3,CP,10,,,
synthetic_tt_r10_40x40x50.mat,multi,7,20,25020,0.0758,5.7416,5.8174,0.000196,0.023142,0.025724,0.018021,0.018331,4.8e-05,0.000393,0.000408,0.3424,9,"(40,40,50)",25000,25020,20,0.3,CP,10,,,
synthetic_tt_r10_40x40x50.mat,multi,123,20,25020,0.1376,5.8028,5.9403,0.000192,0.022405,0.025513,0.021482,0.021655,3e-06,0.000562,0.000567,0.3424,9,"(40,40,50)",25000,25020,20,0.3,CP,10,,,
synthetic_tt_r10_40x40x50.mat,multi,42,33,30051,0.0735,5.8169,5.8904,0.0002,0.040579,0.043538,0.01213,0.012435,5.1e-05,0.00018,0.00019,0.4057,9,"(40,40,50)",30000,30051,51,0.3,CP,10,,,
synthetic_tt_r10_40x40x50.mat,multi,7,33,30051,0.069,5.8684,5.9373,0.000192,0.02173,0.029517,0.033433,0.033291,0.000293,0.001352,0.001347,0.4057,9,"(40,40,50)",30000,30051,51,0.3,CP,10,,,
synthetic_tt_r10_40x40x50.mat,multi,123,33,30051,0.0383,5.9441,5.9824,0.000193,0.030598,0.036956,0.036142,0.036466,0.004829,0.001589,0.001608,0.4057,9,"(40,40,50)",30000,30051,51,0.3,CP,10,,,
synthetic_tt_r10_40x40x50.mat,multi,42,59,40113,0.0581,6.0744,6.1326,0.000245,0.053937,0.060235,0.016881,0.016996,0.000808,0.000348,0.000354,0.5321,9,"(40,40,50)",40000,40113,113,0.3,CP,10,,,
synthetic_tt_r10_40x40x50.mat,multi,7,59,40113,0.0384,5.9732,6.0116,0.000195,0.020559,0.029586,0.023381,0.023318,0.00261,0.000661,0.000661,0.5321,9,"(40,40,50)",40000,40113,113,0.3,CP,10,,,
synthetic_tt_r10_40x40x50.mat,multi,123,59,40113,0.0593,6.0174,6.0768,0.000211,0.054817,0.067283,0.036556,0.036256,0.000808,0.001626,0.00159,0.5321,9,"(40,40,50)",40000,40113,113,0.3,CP,10,,,
synthetic_tt_r10_40x40x50.mat,multi,42,85,50175,0.0416,6.2971,6.3387,0.000223,0.055265,0.060522,0.019313,0.019474,0.003405,0.000456,0.000465,0.6586,9,"(40,40,50)",50000,50175,175,0.3,CP,10,,,
synthetic_tt_r10_40x40x50.mat,multi,7,85,50175,0.0322,6.1047,6.1369,0.000285,0.03234,0.043023,0.046789,0.046555,0.013951,0.002648,0.002635,0.6586,9,"(40,40,50)",50000,50175,175,0.3,CP,10,,,
synthetic_tt_r10_40x40x50.mat,multi,123,85,50175,0.1122,6.1072,6.2194,0.000222,0.039816,0.051666,0.083402,0.084557,0.00011,0.008464,0.008648,0.6586,9,"(40,40,50)",50000,50175,175,0.3,CP,10,,,
synthetic_tt_r10_40x40x50.mat,multi,42,149,74943,0.0461,6.3821,6.4282,0.000329,0.077846,0.082328,0.029236,0.029508,0.013243,0.001045,0.001068,0.9699,9,"(40,40,50)",75000,74943,-57,0.3,CP,10,,,
synthetic_tt_r10_40x40x50.mat,multi,7,149,74943,0.0729,6.4146,6.4875,0.000287,0.035766,0.048653,0.056916,0.05726,0.00152,0.003918,0.003986,0.9699,9,"(40,40,50)",75000,74943,-57,0.3,CP,10,,,
synthetic_tt_r10_40x40x50.mat,multi,123,149,74943,0.0183,6.4704,6.4887,0.000243,0.075246,0.091707,0.06121,0.060999,0.096093,0.004559,0.0045,0.9699,9,"(40,40,50)",75000,74943,-57,0.3,CP,10,,,
synthetic_tt_r10_40x40x50.mat,multi,42,214,100098,0.0202,6.6919,6.7121,0.000328,0.161098,0.182863,0.065071,0.066094,0.232223,0.005177,0.005359,1.2861,9,"(40,40,50)",100000,100098,98,0.3,CP,10,,,
synthetic_tt_r10_40x40x50.mat,multi,7,214,100098,0.0363,6.7446,6.7809,0.000326,0.038602,0.054792,0.096339,0.096523,0.08362,0.011225,0.011326,1.2861,9,"(40,40,50)",100000,100098,98,0.3,CP,10,,,
synthetic_tt_r10_40x40x50.mat,multi,123,214,100098,0.0162,6.6067,6.623,0.000354,0.04334,0.06969,0.057912,0.057327,0.069134,0.004081,0.003975,1.2861,9,"(40,40,50)",100000,100098,98,0.3,CP,10,,,
synthetic_tt_r10_40x40x50.mat,multi,42,278,124866,0.0771,6.7199,6.797,0.000374,0.107008,0.109817,0.025843,0.025959,0.002685,0.000817,0.000827,1.5974,9,"(40,40,50)",125000,124866,-134,0.3,CP,10,,,
synthetic_tt_r10_40x40x50.mat,multi,7,278,124866,0.065,6.7734,6.8384,0.000393,0.042205,0.056031,0.047943,0.047378,0.010201,0.00278,0.002729,1.5974,9,"(40,40,50)",125000,124866,-134,0.3,CP,10,,,
synthetic_tt_r10_40x40x50.mat,multi,123,278,124866,0.0443,6.7736,6.8179,0.000372,0.048252,0.068762,0.051338,0.051982,0.019923,0.003207,0.003268,1.5974,9,"(40,40,50)",125000,124866,-134,0.3,CP,10,,,
